Proposal ID,Snapshot ID,Author,Type,Title,Started,Ended,Threshold,Status,Forum Topic,Total VP,MANA VP,LAND VP,NAMES VP,DELEGATED VP,Votes
e8de87c0-957a-11ed-ae61-5f6dd0bf8358,0x714d66ac7661dde0839cd4e97ab6568ee303bcc81ce8a23d9c92642895052724,0xb357e7575a780980e4cee86654a6acd0cc13b77f,linked_wearables,Add Integrate Dynamic NFTs and add FANCY BEARS as the first dynamic avatars to the Linked Wearables Registry,2023-01-16T08:51:00.380Z,2023-01-23T08:51:00.379Z,4000000,active,17565,"959,101","5,027","34,000","216,700","692,367",111
a8338c00-9531-11ed-ae61-5f6dd0bf8358,0x8c7cae1750587844d5ecee341d4243799ebe918c955c68d0fe8585620fbce703,0x37f00ec67d68c2d3c662339c183d37403c36f28e,linked_wearables,Add Ape Coin Armory Club and Ape Coin Pet Club in Decentraland to the Linked Wearables Registry,2023-01-16T00:06:00.624Z,2023-01-23T00:06:00.624Z,4000000,active,17561,"1,286,436","119,359","470,000","248,600","433,655",156
02588d40-9530-11ed-ae61-5f6dd0bf8358,0x42422eb8804a628829c2b90880b29c378f2e45f2f01eb965577c8071a9ed4279,0x37f00ec67d68c2d3c662339c183d37403c36f28e,linked_wearables,Add Decentraland Dino's to the Linked Wearables Registry,2023-01-15T23:54:00.868Z,2023-01-22T23:54:00.867Z,4000000,active,17560,"1,331,865","123,595","488,000","249,300","453,858",153
9d23f2b0-9440-11ed-ae61-5f6dd0bf8358,0x474442560b9dbc27d960fa055948c4a650c1045eaefd0e230513d520e038dfff,0x943d99cefa84b247b679d2b7cce17c7c93e6587b,poi,"Add the location 96,99 to the Points of Interest",2023-01-14T19:21:00.355Z,2023-01-21T19:21:00.353Z,500000,active,17557,"1,353,959","24,287","58,000","234,100","1,022,600",187
e8280260-93a0-11ed-ae61-5f6dd0bf8358,0x16fa26560c26db843839bce27e007f284337320ebaba59592b14263fb9038795,0x08e4f14f0e44080297e7b9a45971a00d6a7f768d,poll,Should the DAO fund marketing material to boost Decentraland users?,2023-01-14T00:18:00.734Z,2023-01-19T00:18:00.733Z,500000,active,17551,"1,340,868","47,341","152,000","229,700","895,990",135
d76b8270-9374-11ed-ae61-5f6dd0bf8358,0x5180e81e02085b59fd9c4a457f89270b38fd7bc27fece7c716b9620c4b818a9b,0x858343382132b9ab46c857a7d52fdbafc039f784,poll,What is the best name for the Accountability Commitee?,2023-01-13T19:02:00.799Z,2023-01-18T19:02:00.798Z,500000,active,17548,"1,376,289","55,157","136,000","234,500","936,224",154
5c469630-9350-11ed-ae61-5f6dd0bf8358,0x1c2b664ce828ebd52d89206cdcc0b89eee8ed13216e45b08d7548af24469f6c6,0xd11a019a70986bd607cbc1c1f9ae221c78581f49,draft,Redirect NAME minting fees to the DAO,2023-01-13T14:41:00.315Z,2023-01-20T14:41:00.314Z,1000000,active,17544,"2,286,213","82,931","256,000","332,000","1,523,433",146
deb6e260-92a5-11ed-ae61-5f6dd0bf8358,0x79b68a785e8f8ad47855ed713f5ca3b259cbc896be23902eede65a476a8379f2,0x57d1721f6223eb434e20f5b4a88e494008ea0542,poll,Would you like to mint a wearable without knowing the exact item traits being minted?,2023-01-12T18:21:00.214Z,2023-01-17T18:21:00.214Z,500000,active,17542,"1,237,047","48,178","134,000","231,600","808,862",205
17bf15e0-923e-11ed-aae5-394e6c1c2226,0x4d2a825d0af1bddb1fe3cf06e5c51cf20ad6d03f2632b3ed19c0d61b6dac143c,0x37cbd8df10226e20d97a4ee9595fea1b9d171e83,poi,"Add the location 29,-32 to the Points of Interest",2023-01-12T05:58:00.238Z,2023-01-19T05:58:00.237Z,500000,active,17536,"1,724,943","59,249","154,000","235,200","1,262,173",195
dc038240-91e1-11ed-aae5-394e6c1c2226,0x6f5a95f71e464e72d10804a5441ca2af38db72e3e2d0e018bf4d3458e2a5eb24,0xaa20991f26aefa3d91592e84e3ead5cd12f6413c,poll,Removal of Committee Member for Acting Outside of Scope of Authority and Bias Agenda,2023-01-11T18:57:00.324Z,2023-01-16T18:57:00.324Z,500000,rejected,17529,"2,143,802","46,820","186,000","219,100","1,664,824",162
